Tick,Position_Row,Position_Col,Current_Action,Target,Node_Status,Items_Collected,Exploration_Percent
0,0,2,Exploring,"(0, 3)",RUNNING,0,0.36%
1,0,3,Idle/Deciding,None,SUCCESS,0,0.60%
2,2,2,Exploring,"(3, 1)",RUNNING,0,0.72%
3,4,2,Exploring,"(5, 1)",RUNNING,0,1.12%
4,6,2,Exploring,"(7, 1)",RUNNING,0,1.52%
5,6,4,Exploring,"(5, 5)",RUNNING,0,1.92%
6,6,6,Exploring,"(5, 7)",RUNNING,0,2.32%
7,6,8,Exploring,"(5, 9)",RUNNING,0,2.72%
8,6,10,Exploring,"(5, 11)",RUNNING,0,3.12%
9,6,12,Exploring,"(5, 13)",RUNNING,0,3.52%
10,6,14,Exploring,"(5, 15)",RUNNING,0,3.92%
11,6,16,Exploring,"(5, 17)",RUNNING,0,4.32%
12,8,16,Exploring,"(9, 15)",RUNNING,0,4.72%
13,8,18,Exploring,"(7, 19)",RUNNING,0,5.12%
14,10,17,Exploring,"(11, 16)",RUNNING,0,5.52%
15,12,18,Exploring,"(13, 17)",RUNNING,0,5.92%
16,10,18,Exploring,"(4, 19)",RUNNING,0,6.40%
17,8,17,Exploring,"(4, 19)",RUNNING,0,6.40%
18,6,17,Exploring,"(4, 19)",RUNNING,0,6.40%
19,4,19,Exploring,"(4, 19)",RUNNING,0,6.48%
20,5,20,Exploring,"(7, 21)",RUNNING,0,7.08%
21,7,20,Idle/Deciding,None,RUNNING,0,7.32%
22,9,20,Exploring,"(10, 21)",RUNNING,0,7.48%
23,11,20,Exploring,"(12, 21)",RUNNING,0,7.64%
24,13,20,Exploring,"(14, 21)",RUNNING,0,7.80%
25,15,20,Exploring,"(16, 19)",RUNNING,0,8.08%
26,17,20,Exploring,"(18, 19)",RUNNING,0,8.48%
27,17,22,Exploring,"(16, 23)",RUNNING,0,8.88%
28,18,24,Exploring,"(17, 25)",RUNNING,0,9.28%
29,18,26,Exploring,"(17, 27)",RUNNING,0,9.80%
30,18,28,Exploring,"(17, 29)",RUNNING,0,10.20%
31,20,28,Exploring,"(21, 27)",RUNNING,0,10.60%
32,20,30,Exploring,"(19, 31)",RUNNING,0,11.00%
33,22,30,Exploring,"(23, 29)",RUNNING,0,11.40%
34,21,32,Exploring,"(20, 33)",RUNNING,0,11.80%
35,20,33,Idle/Deciding,None,SUCCESS,0,12.20%
36,18,33,Exploring,"(17, 32)",RUNNING,0,12.48%
37,17,32,Idle/Deciding,None,SUCCESS,0,12.88%
38,15,32,Exploring,"(14, 31)",RUNNING,0,13.08%
39,16,31,Exploring,"(15, 29)",RUNNING,0,13.48%
40,16,31,Idle/Deciding,None,RUNNING,0,13.56%
41,16,29,Exploring,"(15, 28)",RUNNING,0,13.56%
42,16,31,Exploring,"(12, 33)",RUNNING,0,13.72%
43,14,33,Exploring,"(12, 33)",RUNNING,0,13.72%
44,12,33,Exploring,"(12, 33)",RUNNING,0,14.04%
45,11,32,Exploring,"(9, 31)",RUNNING,0,14.44%
46,11,32,Idle/Deciding,None,RUNNING,0,14.76%
47,9,34,Exploring,"(8, 33)",RUNNING,0,14.76%
48,9,34,Exploring,"(7, 37)",RUNNING,0,15.32%
49,8,36,Exploring,"(7, 37)",RUNNING,0,15.32%
50,7,38,Exploring,"(6, 39)",RUNNING,0,15.84%
